,set,succes,failures,maxFail
0,primes,994,0,0
0,prob_set_001.txt,762,232,996
0,prob_set_002.txt,760,234,997
0,prob_set_003.txt,750,244,999
0,prob_set_004.txt,714,280,999
0,prob_set_005.txt,799,195,951
0,prob_set_006.txt,797,197,987
0,prob_set_007.txt,753,241,999
0,prob_set_008.txt,753,241,982
0,prob_set_009.txt,818,176,946
0,prob_set_010.txt,757,237,990
0,prob_set_011.txt,760,234,995
0,prob_set_012.txt,731,263,993
0,prob_set_013.txt,765,229,979
0,prob_set_014.txt,730,264,995
0,prob_set_015.txt,809,185,997
0,prob_set_016.txt,799,195,969
0,prob_set_017.txt,755,239,993
0,prob_set_018.txt,794,200,994
0,prob_set_019.txt,725,269,995
0,prob_set_020.txt,746,248,996
0,prob_set_021.txt,756,238,998
0,prob_set_022.txt,774,220,983
0,prob_set_023.txt,749,245,996
0,prob_set_024.txt,837,157,992
0,prob_set_025.txt,747,247,992
0,prob_set_026.txt,774,220,998
0,prob_set_027.txt,799,195,985
0,prob_set_028.txt,754,240,983
0,prob_set_029.txt,723,271,989
0,prob_set_030.txt,760,234,975
0,prob_set_031.txt,811,183,954
0,prob_set_032.txt,742,252,967
0,prob_set_033.txt,668,326,950
0,prob_set_034.txt,768,226,991
0,prob_set_035.txt,802,192,995
0,prob_set_036.txt,752,242,996
0,prob_set_037.txt,760,234,995
0,prob_set_038.txt,729,265,984
0,prob_set_039.txt,729,265,998
0,prob_set_040.txt,715,279,997
0,prob_set_041.txt,741,253,994
0,prob_set_042.txt,774,220,999
0,prob_set_043.txt,755,239,976
0,prob_set_044.txt,739,255,984
0,prob_set_045.txt,734,260,993
0,prob_set_046.txt,727,267,997
0,prob_set_047.txt,808,186,997
0,prob_set_048.txt,687,307,994
0,prob_set_049.txt,758,236,992
0,prob_set_050.txt,725,269,998
0,prob_set_051.txt,739,255,964
0,prob_set_052.txt,819,175,992
0,prob_set_053.txt,779,215,999
0,prob_set_054.txt,778,216,994
0,prob_set_055.txt,738,256,993
0,prob_set_056.txt,661,333,998
0,prob_set_057.txt,735,259,993
0,prob_set_058.txt,748,246,998
0,prob_set_059.txt,799,195,967
0,prob_set_060.txt,764,230,998
0,prob_set_061.txt,767,227,999
0,prob_set_062.txt,749,245,999
0,prob_set_063.txt,718,276,998
0,prob_set_064.txt,776,218,956
0,prob_set_065.txt,792,202,973
0,prob_set_066.txt,745,249,986
0,prob_set_067.txt,709,285,990
0,prob_set_068.txt,739,255,965
0,prob_set_069.txt,729,265,983
0,prob_set_070.txt,763,231,971
0,prob_set_071.txt,708,286,997
0,prob_set_072.txt,699,295,999
0,prob_set_073.txt,764,230,991
0,prob_set_074.txt,717,277,971
0,prob_set_075.txt,747,247,976
0,prob_set_076.txt,818,176,968
0,prob_set_077.txt,742,252,988
0,prob_set_078.txt,684,310,998
0,prob_set_079.txt,674,320,993
0,prob_set_080.txt,757,237,987
0,prob_set_081.txt,784,210,954
0,prob_set_082.txt,754,240,976
0,prob_set_083.txt,697,297,992
0,prob_set_084.txt,720,274,999
0,prob_set_085.txt,792,202,993
0,prob_set_086.txt,785,209,994
0,prob_set_087.txt,741,253,991
0,prob_set_088.txt,785,209,957
0,prob_set_089.txt,753,241,998
0,prob_set_090.txt,737,257,968
0,prob_set_091.txt,724,270,994
0,prob_set_092.txt,753,241,996
0,prob_set_093.txt,765,229,964
0,prob_set_094.txt,764,230,996
0,prob_set_095.txt,806,188,997
0,prob_set_096.txt,787,207,984
0,prob_set_097.txt,713,281,999
0,prob_set_098.txt,765,229,997
0,prob_set_099.txt,785,209,964
0,prob_set_100.txt,710,284,994
